Бүс,Он,n_schools,n_students,n_teachers,teacher_pupil_ratio
181,0,965.0,31.0,15.6,0.5032258064516129
181,1,955.0,31.0,15.7,0.5064516129032258
181,2,951.0,30.0,15.7,0.5233333333333333
181,3,938.0,30.0,15.8,0.5266666666666667
181,4,928.0,30.0,15.8,0.5266666666666667
181,5,926.0,30.0,15.5,0.5166666666666667
181,6,916.0,30.0,15.2,0.5066666666666666
181,7,900.0,30.0,14.5,0.48333333333333334
181,8,894.0,30.0,14.7,0.49
181,9,893.0,30.0,14.6,0.48666666666666664
181,10,896.0,30.0,14.6,0.48666666666666664
181,11,879.0,30.0,14.2,0.47333333333333333
181,12,868.0,30.0,14.2,0.47333333333333333
181,13,885.0,30.0,14.6,0.48666666666666664
181,14,884.0,30.0,15.1,0.5033333333333333
181,15,873.0,30.0,15.6,0.52
181,16,885.0,31.0,16.9,0.5451612903225806
181,17,888.0,32.0,17.5,0.546875
181,18,831.0,33.0,17.8,0.5393939393939394
181,19,798.0,33.0,17.7,0.5363636363636364
181,20,791.0,32.0,18.3,0.571875
181,21,777.0,33.0,18.4,0.5575757575757575
181,22,750.0,33.0,18.0,0.5454545454545454
181,23,777.0,34.0,18.0,0.5294117647058824
181,24,760.0,38.0,17.1,0.45
181,25,730.0,34.0,16.6,0.4882352941176471
182,0,781.0,28.0,11.8,0.42142857142857143
182,1,796.0,28.0,11.8,0.42142857142857143
182,2,784.0,28.0,11.7,0.4178571428571428
182,3,788.0,28.0,11.8,0.42142857142857143
182,4,793.0,28.0,11.8,0.42142857142857143
182,5,777.0,28.0,11.9,0.425
182,6,751.0,29.0,11.7,0.40344827586206894
182,7,715.0,28.0,11.4,0.40714285714285714
182,8,703.0,28.0,11.4,0.40714285714285714
182,9,697.0,28.0,11.3,0.4035714285714286
182,10,688.0,28.0,11.3,0.4035714285714286
182,11,661.0,28.0,11.1,0.3964285714285714
182,12,666.0,28.0,11.3,0.4035714285714286
182,13,677.0,28.0,11.6,0.41428571428571426
182,14,651.0,28.0,12.0,0.42857142857142855
182,15,660.0,28.0,12.3,0.43928571428571433
182,16,650.0,28.0,12.6,0.45
182,17,644.0,28.0,12.9,0.46071428571428574
182,18,598.0,29.0,12.9,0.44482758620689655
182,19,546.0,29.0,13.1,0.4517241379310345
182,20,547.0,27.0,15.1,0.5592592592592592
182,21,538.0,27.0,15.0,0.5555555555555556
182,22,513.0,28.0,12.5,0.44642857142857145
182,23,500.0,29.0,12.5,0.43103448275862066
182,24,491.0,28.0,12.8,0.4571428571428572
182,25,486.0,28.0,12.7,0.45357142857142857
183,0,1831.0,43.0,27.7,0.6441860465116279
183,1,1797.0,45.0,27.0,0.6
183,2,1776.0,44.0,26.3,0.5977272727272728
183,3,1755.0,44.0,25.9,0.5886363636363636
183,4,1704.0,44.0,25.4,0.5772727272727273
183,5,1655.0,44.0,25.0,0.5681818181818182
183,6,1600.0,43.0,23.8,0.5534883720930233
183,7,1537.0,43.0,23.2,0.5395348837209302
183,8,1510.0,43.0,23.1,0.5372093023255814
183,9,1493.0,43.0,22.6,0.5255813953488372
183,10,1467.0,43.0,22.6,0.5255813953488372
183,11,1395.0,43.0,21.6,0.5023255813953489
183,12,1392.0,42.0,22.3,0.530952380952381
183,13,1365.0,42.0,22.6,0.5380952380952382
183,14,1341.0,42.0,23.1,0.55
183,15,1298.0,43.0,23.2,0.5395348837209302
183,16,1274.0,42.0,23.8,0.5666666666666667
183,17,1206.0,41.0,24.0,0.5853658536585366
183,18,1127.0,41.0,23.7,0.5780487804878048
183,19,1092.0,41.0,23.3,0.5682926829268293
183,20,1062.0,38.0,23.4,0.6157894736842104
183,21,993.0,37.0,23.7,0.6405405405405405
183,22,937.0,37.0,22.4,0.6054054054054053
183,23,940.0,37.0,21.6,0.5837837837837838
183,24,855.0,35.0,20.2,0.5771428571428571
183,25,753.0,35.0,18.8,0.5371428571428571
184,0,1092.0,25.0,22.3,0.892
184,1,1064.0,25.0,21.8,0.872
184,2,1054.0,25.0,21.2,0.848
184,3,1073.0,25.0,21.0,0.84
184,4,1064.0,25.0,20.5,0.82
184,5,1050.0,25.0,20.2,0.8079999999999999
184,6,1022.0,25.0,19.4,0.7759999999999999
184,7,1029.0,25.0,18.6,0.7440000000000001
184,8,1020.0,25.0,18.5,0.74
184,9,1006.0,25.0,18.1,0.7240000000000001
184,10,1034.0,24.0,18.3,0.7625000000000001
184,11,993.0,24.0,17.8,0.7416666666666667
184,12,994.0,24.0,17.9,0.7458333333333332
184,13,994.0,24.0,18.4,0.7666666666666666
184,14,973.0,24.0,19.0,0.7916666666666666
184,15,944.0,23.0,19.6,0.8521739130434783
184,16,940.0,23.0,20.5,0.8913043478260869
184,17,922.0,23.0,21.4,0.9304347826086956
184,18,881.0,24.0,21.9,0.9125
184,19,853.0,24.0,21.6,0.9
184,20,830.0,23.0,21.6,0.9391304347826087
184,21,795.0,23.0,21.8,0.9478260869565218
184,22,760.0,23.0,20.4,0.8869565217391304
184,23,781.0,24.0,20.1,0.8375
184,24,748.0,25.0,19.4,0.7759999999999999
184,25,701.0,22.0,18.3,0.8318181818181819
185,0,1058.0,30.0,20.2,0.6733333333333333
185,1,1039.0,30.0,20.0,0.6666666666666666
185,2,1022.0,29.0,19.7,0.6793103448275862
185,3,1048.0,29.0,19.3,0.6655172413793103
185,4,1046.0,30.0,18.8,0.6266666666666667
185,5,1053.0,30.0,18.5,0.6166666666666667
185,6,1018.0,30.0,18.0,0.6
185,7,1028.0,30.0,17.7,0.59
185,8,982.0,30.0,17.5,0.5833333333333334
185,9,1027.0,30.0,17.4,0.58
185,10,1046.0,30.0,17.4,0.58
185,11,991.0,30.0,17.0,0.5666666666666667
185,12,996.0,31.0,17.4,0.5612903225806452
185,13,997.0,31.0,18.0,0.5806451612903226
185,14,980.0,30.0,18.7,0.6233333333333333
185,15,981.0,28.0,19.6,0.7000000000000001
185,16,975.0,27.0,19.8,0.7333333333333334
185,17,964.0,27.0,20.4,0.7555555555555555
185,18,882.0,27.0,20.5,0.7592592592592593
185,19,857.0,27.0,20.8,0.7703703703703704
185,20,811.0,30.0,21.2,0.7066666666666667
185,21,764.0,30.0,20.8,0.6933333333333334
185,22,765.0,30.0,19.6,0.6533333333333334
185,23,736.0,29.0,18.9,0.6517241379310345
185,24,688.0,27.0,18.1,0.6703703703703704
185,25,680.0,26.0,17.3,0.6653846153846155
261,0,1302.0,23.0,27.9,1.2130434782608694
261,1,1288.0,24.0,26.9,1.1208333333333333
261,2,1241.0,25.0,25.8,1.032
261,3,1205.0,24.0,24.6,1.0250000000000001
261,4,1150.0,25.0,23.5,0.94
261,5,1539.0,24.0,22.6,0.9416666666666668
261,6,1486.0,24.0,21.5,0.8958333333333334
261,7,1456.0,24.0,19.8,0.8250000000000001
261,8,1421.0,24.0,19.1,0.7958333333333334
261,9,1407.0,22.0,18.6,0.8454545454545456
261,10,1410.0,22.0,18.1,0.8227272727272728
261,11,1371.0,21.0,17.0,0.8095238095238095
261,12,1389.0,20.0,16.7,0.835
261,13,1370.0,20.0,16.8,0.8400000000000001
261,14,1340.0,18.0,17.5,0.9722222222222222
261,15,1306.0,18.0,18.1,1.0055555555555555
261,16,989.0,18.0,19.0,1.0555555555555556
261,17,978.0,16.0,19.7,1.23125
261,18,967.0,16.0,20.1,1.25625
261,19,939.0,16.0,20.7,1.29375
261,20,912.0,15.0,21.5,1.4333333333333333
261,21,877.0,16.0,22.3,1.39375
261,22,833.0,13.0,21.4,1.646153846153846
261,23,847.0,13.0,21.2,1.6307692307692307
261,24,848.0,23.0,21.0,0.9130434782608695
261,25,755.0,19.0,19.6,1.0315789473684212
262,0,1310.0,33.0,25.7,0.7787878787878788
262,1,1308.0,34.0,25.1,0.7382352941176471
262,2,1288.0,32.0,24.7,0.771875
262,3,1295.0,32.0,24.4,0.7625
262,4,1292.0,31.0,23.9,0.7709677419354838
