newaimag,year,schools,n_students,n_teachers,students_per_teacher
9,2025,965.0,31.0,15.6,1.9871794871794872
9,2024,955.0,31.0,15.7,1.9745222929936306
9,2023,951.0,30.0,15.7,1.910828025477707
9,2022,938.0,30.0,15.8,1.8987341772151898
9,2021,928.0,30.0,15.8,1.8987341772151898
9,2020,926.0,30.0,15.5,1.935483870967742
9,2019,916.0,30.0,15.2,1.973684210526316
9,2018,900.0,30.0,14.5,2.0689655172413794
9,2017,894.0,30.0,14.7,2.0408163265306123
9,2016,893.0,30.0,14.6,2.0547945205479454
9,2015,896.0,30.0,14.6,2.0547945205479454
9,2014,879.0,30.0,14.2,2.1126760563380285
9,2013,868.0,30.0,14.2,2.1126760563380285
9,2012,885.0,30.0,14.6,2.0547945205479454
9,2011,884.0,30.0,15.1,1.9867549668874174
9,2010,873.0,30.0,15.6,1.9230769230769231
9,2009,885.0,31.0,16.9,1.8343195266272192
9,2008,888.0,32.0,17.5,1.8285714285714285
9,2007,831.0,33.0,17.8,1.8539325842696628
9,2006,798.0,33.0,17.7,1.864406779661017
9,2005,791.0,32.0,18.3,1.7486338797814207
9,2004,777.0,33.0,18.4,1.7934782608695654
9,2003,750.0,33.0,18.0,1.8333333333333333
9,2002,777.0,34.0,18.0,1.8888888888888888
9,2001,760.0,38.0,17.1,2.222222222222222
9,2000,730.0,34.0,16.6,2.048192771084337
5,2025,781.0,28.0,11.8,2.3728813559322033
5,2024,796.0,28.0,11.8,2.3728813559322033
5,2023,784.0,28.0,11.7,2.393162393162393
5,2022,788.0,28.0,11.8,2.3728813559322033
5,2021,793.0,28.0,11.8,2.3728813559322033
5,2020,777.0,28.0,11.9,2.3529411764705883
5,2019,751.0,29.0,11.7,2.4786324786324787
5,2018,715.0,28.0,11.4,2.456140350877193
5,2017,703.0,28.0,11.4,2.456140350877193
5,2016,697.0,28.0,11.3,2.47787610619469
5,2015,688.0,28.0,11.3,2.47787610619469
5,2014,661.0,28.0,11.1,2.5225225225225225
5,2013,666.0,28.0,11.3,2.47787610619469
5,2012,677.0,28.0,11.6,2.413793103448276
5,2011,651.0,28.0,12.0,2.3333333333333335
5,2010,660.0,28.0,12.3,2.2764227642276422
5,2009,650.0,28.0,12.6,2.2222222222222223
5,2008,644.0,28.0,12.9,2.1705426356589146
5,2007,598.0,29.0,12.9,2.248062015503876
5,2006,546.0,29.0,13.1,2.213740458015267
5,2005,547.0,27.0,15.1,1.7880794701986755
5,2004,538.0,27.0,15.0,1.8
5,2003,513.0,28.0,12.5,2.24
5,2002,500.0,29.0,12.5,2.32
5,2001,491.0,28.0,12.8,2.1875
5,2000,486.0,28.0,12.7,2.204724409448819
2,2025,1831.0,43.0,27.7,1.552346570397112
2,2024,1797.0,45.0,27.0,1.6666666666666667
2,2023,1776.0,44.0,26.3,1.6730038022813687
2,2022,1755.0,44.0,25.9,1.698841698841699
2,2021,1704.0,44.0,25.4,1.7322834645669292
2,2020,1655.0,44.0,25.0,1.76
2,2019,1600.0,43.0,23.8,1.8067226890756303
2,2018,1537.0,43.0,23.2,1.853448275862069
2,2017,1510.0,43.0,23.1,1.8614718614718613
2,2016,1493.0,43.0,22.6,1.902654867256637
2,2015,1467.0,43.0,22.6,1.902654867256637
2,2014,1395.0,43.0,21.6,1.9907407407407407
2,2013,1392.0,42.0,22.3,1.8834080717488788
2,2012,1365.0,42.0,22.6,1.8584070796460175
2,2011,1341.0,42.0,23.1,1.8181818181818181
2,2010,1298.0,43.0,23.2,1.853448275862069
2,2009,1274.0,42.0,23.8,1.7647058823529411
2,2008,1206.0,41.0,24.0,1.7083333333333333
2,2007,1127.0,41.0,23.7,1.729957805907173
2,2006,1092.0,41.0,23.3,1.759656652360515
2,2005,1062.0,38.0,23.4,1.623931623931624
2,2004,993.0,37.0,23.7,1.5611814345991561
2,2003,937.0,37.0,22.4,1.6517857142857144
2,2002,940.0,37.0,21.6,1.7129629629629628
2,2001,855.0,35.0,20.2,1.7326732673267327
2,2000,753.0,35.0,18.8,1.8617021276595744
16,2025,1092.0,25.0,22.3,1.1210762331838564
16,2024,1064.0,25.0,21.8,1.146788990825688
16,2023,1054.0,25.0,21.2,1.179245283018868
16,2022,1073.0,25.0,21.0,1.1904761904761905
16,2021,1064.0,25.0,20.5,1.2195121951219512
16,2020,1050.0,25.0,20.2,1.2376237623762376
16,2019,1022.0,25.0,19.4,1.288659793814433
16,2018,1029.0,25.0,18.6,1.3440860215053763
16,2017,1020.0,25.0,18.5,1.3513513513513513
16,2016,1006.0,25.0,18.1,1.3812154696132595
16,2015,1034.0,24.0,18.3,1.3114754098360655
16,2014,993.0,24.0,17.8,1.348314606741573
16,2013,994.0,24.0,17.9,1.340782122905028
16,2012,994.0,24.0,18.4,1.3043478260869565
16,2011,973.0,24.0,19.0,1.263157894736842
16,2010,944.0,23.0,19.6,1.173469387755102
16,2009,940.0,23.0,20.5,1.1219512195121952
16,2008,922.0,23.0,21.4,1.074766355140187
16,2007,881.0,24.0,21.9,1.0958904109589043
16,2006,853.0,24.0,21.6,1.111111111111111
16,2005,830.0,23.0,21.6,1.0648148148148147
16,2004,795.0,23.0,21.8,1.055045871559633
16,2003,760.0,23.0,20.4,1.1274509803921569
16,2002,781.0,24.0,20.1,1.1940298507462686
16,2001,748.0,25.0,19.4,1.288659793814433
16,2000,701.0,22.0,18.3,1.2021857923497268
15,2025,1058.0,30.0,20.2,1.4851485148514851
15,2024,1039.0,30.0,20.0,1.5
15,2023,1022.0,29.0,19.7,1.4720812182741116
15,2022,1048.0,29.0,19.3,1.5025906735751295
15,2021,1046.0,30.0,18.8,1.5957446808510638
15,2020,1053.0,30.0,18.5,1.6216216216216217
15,2019,1018.0,30.0,18.0,1.6666666666666667
15,2018,1028.0,30.0,17.7,1.6949152542372883
15,2017,982.0,30.0,17.5,1.7142857142857142
15,2016,1027.0,30.0,17.4,1.7241379310344829
15,2015,1046.0,30.0,17.4,1.7241379310344829
15,2014,991.0,30.0,17.0,1.7647058823529411
15,2013,996.0,31.0,17.4,1.781609195402299
15,2012,997.0,31.0,18.0,1.7222222222222223
15,2011,980.0,30.0,18.7,1.6042780748663101
15,2010,981.0,28.0,19.6,1.4285714285714284
15,2009,975.0,27.0,19.8,1.3636363636363635
15,2008,964.0,27.0,20.4,1.323529411764706
15,2007,882.0,27.0,20.5,1.3170731707317074
15,2006,857.0,27.0,20.8,1.2980769230769231
15,2005,811.0,30.0,21.2,1.4150943396226416
15,2004,764.0,30.0,20.8,1.4423076923076923
15,2003,765.0,30.0,19.6,1.530612244897959
15,2002,736.0,29.0,18.9,1.5343915343915344
15,2001,688.0,27.0,18.1,1.4917127071823204
15,2000,680.0,26.0,17.3,1.5028901734104045
21,2025,1302.0,23.0,27.9,0.8243727598566308
21,2024,1288.0,24.0,26.9,0.892193308550186
21,2023,1241.0,25.0,25.8,0.9689922480620154
21,2022,1205.0,24.0,24.6,0.975609756097561
21,2021,1150.0,25.0,23.5,1.0638297872340425
21,2020,1539.0,24.0,22.6,1.0619469026548671
21,2019,1486.0,24.0,21.5,1.1162790697674418
21,2018,1456.0,24.0,19.8,1.2121212121212122
21,2017,1421.0,24.0,19.1,1.256544502617801
21,2016,1407.0,22.0,18.6,1.182795698924731
21,2015,1410.0,22.0,18.1,1.2154696132596685
21,2014,1371.0,21.0,17.0,1.2352941176470589
21,2013,1389.0,20.0,16.7,1.1976047904191618
21,2012,1370.0,20.0,16.8,1.1904761904761905
21,2011,1340.0,18.0,17.5,1.0285714285714285
21,2010,1306.0,18.0,18.1,0.9944751381215469
21,2009,989.0,18.0,19.0,0.9473684210526315
21,2008,978.0,16.0,19.7,0.8121827411167513
21,2007,967.0,16.0,20.1,0.7960199004975124
21,2006,939.0,16.0,20.7,0.7729468599033816
