proxy,q_var,status,N,theory_rank,defensibility,note,gamma_star,ch_first_stage_wald,ch_first_stage_r2,ch_ssr_null,ch_ssr_threshold,ch_sup_wald,joint_beta_low_q,joint_se_low_q,joint_return_low_q_pct,joint_beta_high_q,joint_se_high_q,joint_return_high_q_pct,joint_diff_high_minus_low,joint_diff_se,joint_diff_t,joint_diff_p,split_beta_low_q,split_se_low_q,split_return_low_q_pct,split_beta_high_q,split_se_high_q,split_return_high_q_pct,n_low_q,n_high_q,fs_low_q_separate,fs_high_q_separate,recommended_candidate
"D1: EBS school-age teachers per 1,000 students",ebs_teachers_per_1000_school_age,ok,5170,1,Best theory,Own school-age regional teacher supply; predetermined.,41.261687,200.593404914772,0.548121284921461,88928.4471091482,86493.7507056227,145.529362567098,0.0665929918451509,0.0124107147709327,6.88603547504376,0.0391231104264205,0.0296034341203721,3.98984981175756,-0.0274698814187304,0.0347020563221429,-0.791592324204783,0.428598423998508,0.109936750135437,0.0114206722020341,11.6207468254913,0.0327148776927114,0.0162715068465157,3.32558929339712,3015,2155,8.61591939503406,21.3727705383249,TRUE
"D2: EBS school-age schools per 1,000 students",ebs_schools_per_1000_school_age,ok,5170,2,Strong theory,Own school-age school access; predetermined.,1.013002,200.593404914772,0.548121284921461,88928.4471091482,87577.2373013385,79.7667855442758,0.0107614757975725,0.0375449220942519,1.08195887515468,0.0333699629101822,0.0342254219610744,3.39329853476986,0.0226084871126098,0.0614809757881523,0.367731429483371,0.713073502809538,,,,0.011942561003947,0.0349343434848748,1.2014158119374,1308,3862,,4.71309521571973,FALSE
D3: EBS school-age student-teacher ratio,ebs_student_teacher_ratio_school_age,ok,5170,3,Strong theory,Class-size/school-quality proxy during school ages; predetermined.,24.105503,200.593404914772,0.548121284921461,88928.4471091482,86584.8826335412,139.934685713767,0.0203213618145002,0.0365110541002997,2.05292464660245,0.049904290317691,0.0109463764689781,5.11704843682177,0.0295829285031908,0.0380635603971674,0.777198144222795,0.437041876940148,0.0378989773906286,0.0186897900034055,3.86263028391591,0.109897320212114,0.00963698748508427,11.616345714771,2023,3147,20.4701758223818,9.53999166726422,FALSE
"D4: EBS age-12 teachers per 1,000 students",ebs_teachers_per_1000_age12,ok,3701,4,Strong but smaller N,Exact age-12 regional teacher supply.,43.02439,176.904614646092,0.600073628080954,62671.7594972779,61435.0350028452,74.5033734201229,0.0633746455388824,0.0331968815136682,6.54259215379485,0.0165598411024348,0.0159004353130557,1.66977152778414,-0.0468148044364476,0.0314690112547931,-1.48764777060853,0.13684380828331,0.0997931091538668,0.0448246373204267,10.4942291980424,0.0338219501275191,0.0170521308069176,3.4400415468921,2823,878,4.9260639172545,12.133168090074,FALSE
D5: EBS age-12 student-teacher ratio,ebs_student_teacher_ratio_age12,ok,3701,5,Strong but smaller N,Exact age-12 class-size/school-quality proxy.,23.625731,176.904614646092,0.600073628080954,62671.7594972779,61480.1193864444,71.7347346460651,0.0301428215840325,0.0110083356465129,3.06017156124383,0.0734087404500132,0.0244147979267714,7.61703213711804,0.0432659188659807,0.0225125178427875,1.92186050303752,0.0546233128348721,0.0331750414794137,0.0175197841131889,3.3731469291413,0.128869417397823,0.031016758715973,13.7541571328266,984,2717,11.1593358069468,4.91852947775928,FALSE
"D6: EBS 2000 teachers per 1,000 students",ebs_teachers_per_1000_2000,ok,11924,6,Initial condition,Predetermined regional initial condition; not own exposure for older cohorts.,39.8095238095238,180.119686928722,0.321968274081309,227897.594380105,227614.77767661,14.815849862198,0.127398256981704,0.00764141677941087,13.5869295591384,0.000267833536733875,0.0839756907896169,0.0267869407337917,-0.12713042344497,0.0879199884951243,-1.44597861784321,0.148183199196598,0.129591227496451,0.00960482070499881,13.8362956728536,0.0147163020725646,0.0468380614705592,1.48251199897529,7921,4003,16.8535029786033,5.23741365070576,FALSE
D7: EBS 2000 student-teacher ratio,ebs_student_teacher_ratio_2000,ok,11924,7,Initial condition,Predetermined regional initial class-size proxy.,24.9667994687915,180.119686928722,0.321968274081309,227897.594380105,227614.77767661,14.815849862198,-0.049745347979421,0.127619729211643,-4.85283121591873,0.128455139757897,0.010582791288396,13.7070410893134,0.178200487737318,0.134683698585273,1.32310360948763,0.185800924540582,0.0147163020725646,0.0468380614705592,1.48251199897529,0.129591227496451,0.00960482070499881,13.8362956728536,4003,7921,5.23741365070576,16.8535029786033,FALSE
C1: birth-year cohort,birth_year,ok,11924,8,Purely exogenous,"Tests cohort/reform-period heterogeneity, not supply directly.",1988,180.119686928722,0.321968274081309,227897.594380105,224909.063036699,158.442915806229,0.110514029913017,0.00606698900166679,11.6852018278868,0.154056614290278,0.0269911963335974,16.6556928701551,0.0435425843772616,0.0302552336138361,1.43917528230055,0.150100866721258,0.116236689341735,0.00883067061535248,12.3261704745633,0.186385459302014,0.0248233763145669,20.4886605628794,8684,3240,12.5164841821481,2.71432263785026,FALSE
C3: 2008 reform cohort dummy (effectively binary; born >= 1991),reform2008_exp,ok,11924,9,Exogenous binary cohort indicator,"Trim leaves a single cut at gamma=0; report as cohort-difference test, not continuous CH threshold.",0,180.119686928722,0.321968274081309,227897.594380105,225646.262879234,118.968851838521,0.11640552810737,0.00939021574698126,12.3451370876395,0.165972104341303,0.0237155893219742,18.0540169318301,0.0495665762339324,0.0274721382424709,1.80424893746728,0.0711922907172953,0.116297089334899,0.00838557610855809,12.3329551793881,0.129166721999436,0.0312367486616459,13.7879817950596,9659,2265,14.0034180252637,1.89421034643975,FALSE
C4: age at 2008 education reform,age_at_2008,ok,11924,10,Purely exogenous,Alternative cohort-state version of reform exposure.,19,180.119686928722,0.321968274081309,227897.594380105,224909.063036699,158.442915806229,0.155033313596046,0.02781160175621,16.7696860638699,0.113259329728181,0.00686438255071775,11.9922324445367,-0.0417739838678647,0.0295407690040677,-1.4141129454725,0.157328742760144,0.186385459302014,0.0248233763145669,20.4886605628794,0.116236689341735,0.00883067061535248,12.3261704745633,3240,8684,2.71432263785026,12.5164841821481,FALSE
